x	y	rho	u	v	w	A11	A12	A13	A21	A22	A23	A31	A32	A33	omega	curlynorm	rho-rho0detA
-0.49875 	0 	1.01106 	-0.00971941 	-0.0998938 	0	1.00381	-0.000426256	0	0.000437276	1.00348	0	0	0	1.00368	0.0345401	0.104075	4.20364e-05

-0.49625 	0 	1.01569 	-0.0135273 	-0.0998273 	0	1.00521	-0.000833075	0	0.000843999	1.00509	0	0	0	1.00528	0.0154583	0.0391548	2.50106e-05

-0.49375 	0 	1.016 	-0.0137259 	-0.0998165 	0	1.0053	-0.00109852	0	0.00110404	1.00529	0	0	0	1.00531	0.00168525	0.0101556	1.50415e-05

-0.49125 	0 	1.01596 	-0.0136686 	-0.0998189 	0	1.00529	-0.00129665	0	0.00130136	1.00529	0	0	0	1.00529	-0.00184236	0.00687324	2.5732e-06

-0.48875 	0 	1.01589 	-0.0135739 	-0.0998257 	0	1.00527	-0.00143899	0	0.00144334	1.00527	0	0	0	1.00527	-0.00324441	0.00480137	1.65104e-07

-0.48625 	0 	1.01582 	-0.0134889 	-0.0998351 	0	1.00524	-0.00153053	0	0.00153441	1.00524	0	0	0	1.00524	-0.00449712	0.00295372	-8.40049e-08

-0.48375 	0 	1.01575 	-0.0134051 	-0.0998482 	0	1.00522	-0.00157835	0	0.00158133	1.00522	0	0	0	1.00522	-0.00561364	0.00157492	-2.57981e-07

-0.48125 	0 	1.01568 	-0.0133212 	-0.0998632 	0	1.0052	-0.00159428	0	0.00159632	1.0052	0	0	0	1.0052	-0.00581195	0.000960776	-5.29952e-07

-0.47875 	0 	1.01561 	-0.0132374 	-0.0998773 	0	1.00518	-0.00159056	0	0.00159309	1.00518	0	0	0	1.00518	-0.00526313	0.00121356	-7.79675e-07

-0.47625 	0 	1.01554 	-0.0131534 	-0.0998895 	0	1.00515	-0.00155737	0	0.0015609	1.00515	0	0	0	1.00515	-0.00481513	0.00242636	-7.86491e-07

-0.47375 	0 	1.01546 	-0.0130693 	-0.0999013 	0	1.00513	-0.00148053	0	0.0014834	1.00513	0	0	0	1.00513	-0.00499055	0.00390606	-6.96564e-07

-0.47125 	0 	1.01539 	-0.012985 	-0.0999144 	0	1.0051	-0.00136992	0	0.00137146	1.0051	0	0	0	1.0051	-0.00546995	0.00491628	-6.72246e-07

-0.46875 	0 	1.01532 	-0.0129005 	-0.0999287 	0	1.00508	-0.00124156	0	0.00124198	1.00508	0	0	0	1.00508	-0.00565901	0.0053441	-6.88094e-07

-0.46625 	0 	1.01524 	-0.012816 	-0.0999427 	0	1.00505	-0.00110925	0	0.00110883	1.00506	0	0	0	1.00506	-0.00534312	0.00529479	-7.29996e-07

-0.46375 	0 	1.01517 	-0.0127314 	-0.0999554 	0	1.00503	-0.000983346	0	0.000982536	1.00503	0	0	0	1.00503	-0.00471452	0.004952	-7.68974e-07

-0.46125 	0 	1.0151 	-0.0126468 	-0.0999663 	0	1.00501	-0.000868369	0	0.000867392	1.00501	0	0	0	1.00501	-0.00400375	0.00448862	-7.90913e-07

-0.45875 	0 	1.01502 	-0.0125621 	-0.0999754 	0	1.00498	-0.000765981	0	0.000764959	1.00498	0	0	0	1.00498	-0.00337499	0.00398733	-7.95609e-07

-0.45625 	0 	1.01495 	-0.0124773 	-0.0999832 	0	1.00496	-0.000676582	0	0.000675587	1.00496	0	0	0	1.00496	-0.00289611	0.00348696	-7.93156e-07

-0.45375 	0 	1.01488 	-0.0123925 	-0.0999899 	0	1.00493	-0.000599948	0	0.000598972	1.00493	0	0	0	1.00493	-0.00238165	0.00300112	-7.88871e-07

-0.45125 	0 	1.0148 	-0.0123075 	-0.0999951 	0	1.00491	-0.000535892	0	0.000534934	1.00491	0	0	0	1.00491	-0.0017463	0.00253645	-7.81423e-07

-0.44875 	0 	1.01473 	-0.0122225 	-0.0999986 	0	1.00489	-0.000484013	0	0.000483134	1.00489	0	0	0	1.00489	-0.00118668	0.00211323	-7.6706e-07

-0.44625 	0 	1.01465 	-0.0121375 	-0.100001 	0	1.00486	-0.000443284	0	0.000442523	1.00486	0	0	0	1.00486	-0.000766584	0.00175498	-7.47627e-07

-0.44375 	0 	1.01458 	-0.0120523 	-0.100002 	0	1.00484	-0.000412273	0	0.000411644	1.00484	0	0	0	1.00484	-0.000432092	0.00147481	-7.26758e-07

-0.44125 	0 	1.0145 	-0.011967 	-0.100003 	0	1.00481	-0.000389394	0	0.000388899	1.00481	0	0	0	1.00481	-0.000178863	0.00127468	-7.0641e-07

-0.43875 	0 	1.01443 	-0.0118817 	-0.100003 	0	1.00479	-0.000373067	0	0.000372699	1.00479	0	0	0	1.00479	1.29298e-06	0.00114622	-6.87714e-07

-0.43625 	0 	1.01435 	-0.0117962 	-0.100003 	0	1.00476	-0.000361815	0	0.00036156	1.00476	0	0	0	1.00476	0.000119273	0.00107309	-6.71369e-07

-0.43375 	0 	1.01428 	-0.0117106 	-0.100003 	0	1.00474	-0.000354326	0	0.000354167	1.00474	0	0	0	1.00474	0.000187035	0.00103642	-6.57717e-07

-0.43125 	0 	1.0142 	-0.011625 	-0.100002 	0	1.00471	-0.000349487	0	0.000349408	1.00471	0	0	0	1.00471	0.000214969	0.00102038	-6.46824e-07

-0.42875 	0 	1.01413 	-0.0115394 	-0.100002 	0	1.00469	-0.000346392	0	0.000346375	1.00469	0	0	0	1.00469	0.000212239	0.00101441	-6.38598e-07

-0.42625 	0 	1.01405 	-0.0114536 	-0.100001 	0	1.00466	-0.000344341	0	0.000344369	1.00466	0	0	0	1.00466	0.000190486	0.00101268	-6.32839e-07

-0.42375 	0 	1.01398 	-0.0113679 	-0.100001 	0	1.00464	-0.000342827	0	0.000342885	1.00464	0	0	0	1.00464	0.000161068	0.00101247	-6.29217e-07

-0.42125 	0 	1.0139 	-0.0112822 	-0.1 	0	1.00461	-0.000341523	0	0.000341599	1.00461	0	0	0	1.00461	0.000130886	0.00101274	-6.274e-07

-0.41875 	0 	1.01383 	-0.0111964 	-0.1 	0	1.00459	-0.000340244	0	0.000340331	1.00459	0	0	0	1.00459	0.000103416	0.00101319	-6.26911e-07

-0.41625 	0 	1.01375 	-0.0111107 	-0.0999999 	0	1.00456	-0.00033887	0	0.000338965	1.00456	0	0	0	1.00456	7.94861e-05	0.00101383	-6.26921e-07

-0.41375 	0 	1.01368 	-0.011025 	-0.0999997 	0	1.00454	-0.000337299	0	0.000337399	1.00454	0	0	0	1.00454	5.8566e-05	0.00101472	-6.26931e-07

-0.41125 	0 	1.0136 	-0.0109393 	-0.0999996 	0	1.00451	-0.000335481	0	0.000335581	1.00451	0	0	0	1.00451	4.06141e-05	0.00101585	-6.26886e-07

-0.40875 	0 	1.01352 	-0.0108536 	-0.0999995 	0	1.00449	-0.000333413	0	0.000333511	1.00449	0	0	0	1.00449	2.60272e-05	0.00101714	-6.26829e-07

-0.40625 	0 	1.01345 	-0.0107679 	-0.0999994 	0	1.00446	-0.000331125	0	0.000331219	1.00446	0	0	0	1.00446	1.50263e-05	0.00101855	-6.26797e-07

-0.40375 	0 	1.01337 	-0.0106822 	-0.0999994 	0	1.00444	-0.000328662	0	0.000328752	1.00444	0	0	0	1.00444	7.39938e-06	0.00102002	-6.26839e-07

-0.40125 	0 	1.0133 	-0.0105964 	-0.0999994 	0	1.00441	-0.000326072	0	0.000326158	1.00441	0	0	0	1.00441	2.36954e-06	0.00102152	-6.26982e-07

-0.39875 	0 	1.01322 	-0.0105105 	-0.0999994 	0	1.00439	-0.0003234	0	0.000323483	1.00439	0	0	0	1.00439	-8.79235e-07	0.00102303	-6.27242e-07

-0.39625 	0 	1.01314 	-0.0104246 	-0.0999994 	0	1.00436	-0.000320679	0	0.00032076	1.00436	0	0	0	1.00436	-2.64359e-06	0.0010245	-6.27612e-07

-0.39375 	0 	1.01307 	-0.0103386 	-0.0999994 	0	1.00434	-0.000317935	0	0.000318015	1.00434	0	0	0	1.00434	-3.18412e-06	0.00102587	-6.28078e-07

-0.39125 	0 	1.01299 	-0.0102525 	-0.0999994 	0	1.00431	-0.000315186	0	0.000315265	1.00431	0	0	0	1.00431	-2.91165e-06	0.00102706	-6.28614e-07

