x	rho	u	v	p	e	uMax
-0.4975	1.01349	-0.0125894	-0.099936	0.727901	1.79553	0.100726
-0.4925	1.02215	-0.0198112	-0.0998861	0.736616	1.80163	0.101832
-0.4875	1.02395	-0.0211191	-0.0998847	0.73841	1.80285	0.102093
-0.4825	1.02423	-0.0213008	-0.0998973	0.738689	1.80303	0.102143
-0.4775	1.02425	-0.0212991	-0.0999101	0.738707	1.80304	0.102155
-0.4725	1.02423	-0.021247	-0.0999228	0.738668	1.80299	0.102157
-0.4675	1.02417	-0.0211796	-0.0999361	0.738606	1.80293	0.102156
-0.4625	1.02413	-0.0211191	-0.0999477	0.738549	1.80288	0.102155
-0.4575	1.02408	-0.0210605	-0.0999573	0.738494	1.80282	0.102152
-0.4525	1.02403	-0.0210019	-0.0999653	0.738439	1.80278	0.102148
-0.4475	1.02398	-0.020943	-0.099972	0.738385	1.80273	0.102142
-0.4425	1.02393	-0.020884	-0.0999778	0.73833	1.80269	0.102136
-0.4375	1.02387	-0.0208247	-0.0999831	0.738274	1.80265	0.102129
-0.4325	1.02382	-0.0207654	-0.099988	0.738219	1.80261	0.102122
-0.4275	1.02376	-0.0207059	-0.0999917	0.738163	1.80258	0.102113
-0.4225	1.02371	-0.0206461	-0.0999942	0.738107	1.80254	0.102103
-0.4175	1.02365	-0.0205859	-0.099996	0.73805	1.8025	0.102093
-0.4125	1.02359	-0.020525	-0.0999972	0.737993	1.80246	0.102082
-0.4075	1.02353	-0.0204631	-0.0999981	0.737934	1.80242	0.10207
-0.4025	1.02348	-0.0204002	-0.0999987	0.737874	1.80237	0.102058
-0.3975	1.02342	-0.020336	-0.0999991	0.737813	1.80233	0.102046
-0.3925	1.02335	-0.0202704	-0.0999993	0.73775	1.80229	0.102033
-0.3875	1.02329	-0.0202035	-0.0999995	0.737686	1.80224	0.10202
-0.3825	1.02322	-0.0201353	-0.0999996	0.73762	1.8022	0.102007
-0.3775	1.02316	-0.0200661	-0.0999997	0.737554	1.80215	0.101993
-0.3725	1.02309	-0.0199963	-0.0999997	0.737486	1.8021	0.101979
-0.3675	1.02302	-0.0199263	-0.0999997	0.737417	1.80206	0.101966
-0.3625	1.02295	-0.0198565	-0.0999997	0.737349	1.80201	0.101952
-0.3575	1.02289	-0.0197871	-0.0999998	0.737281	1.80196	0.101939
-0.3525	1.02282	-0.019718	-0.0999998	0.737213	1.80191	0.101925
-0.3475	1.02275	-0.0196492	-0.0999998	0.737145	1.80187	0.101912
-0.3425	1.02269	-0.0195804	-0.0999997	0.737077	1.80182	0.101899
-0.3375	1.02262	-0.0195117	-0.0999997	0.737009	1.80177	0.101885
-0.3325	1.02255	-0.0194426	-0.0999997	0.73694	1.80172	0.101872
-0.3275	1.02248	-0.0193728	-0.0999997	0.73687	1.80167	0.101859
-0.3225	1.02241	-0.0193021	-0.0999997	0.7368	1.80162	0.101846
-0.3175	1.02234	-0.0192302	-0.0999997	0.736727	1.80157	0.101832
-0.3125	1.02227	-0.0191569	-0.0999997	0.736653	1.80152	0.101818
-0.3075	1.02219	-0.0190821	-0.0999997	0.736578	1.80147	0.101804
-0.3025	1.02211	-0.0190061	-0.0999997	0.7365	1.80142	0.10179
-0.2975	1.02203	-0.0189295	-0.0999997	0.736422	1.80136	0.101776
-0.2925	1.02196	-0.018853	-0.0999998	0.736343	1.80131	0.101761
-0.2875	1.02188	-0.0187775	-0.0999998	0.736265	1.80125	0.101747
-0.2825	1.0218	-0.0187033	-0.0999998	0.736188	1.8012	0.101734
-0.2775	1.02173	-0.0186305	-0.0999998	0.736112	1.80114	0.10172
-0.2725	1.02166	-0.018559	-0.0999997	0.736037	1.80109	0.101707
-0.2675	1.02158	-0.0184886	-0.0999997	0.735963	1.80104	0.101694
-0.2625	1.02151	-0.0184189	-0.0999996	0.735889	1.80098	0.101682
-0.2575	1.02144	-0.0183496	-0.0999995	0.735815	1.80093	0.101669
-0.2525	1.02136	-0.0182802	-0.0999993	0.73574	1.80088	0.101656
-0.2475	1.02129	-0.0182101	-0.0999989	0.735665	1.80083	0.101643
-0.2425	1.02121	-0.0181388	-0.0999983	0.735588	1.80078	0.10163
-0.2375	1.02113	-0.0180656	-0.0999972	0.735509	1.80073	0.101616
-0.2325	1.02105	-0.0179903	-0.0999955	0.735426	1.80067	0.101601
-0.2275	1.02096	-0.0179128	-0.0999929	0.735341	1.80061	0.101585
-0.2225	1.02087	-0.0178335	-0.099989	0.735254	1.80055	0.101567
-0.2175	1.02078	-0.0177531	-0.0999832	0.735164	1.80049	0.101547
-0.2125	1.0207	-0.0176728	-0.0999749	0.735074	1.80042	0.101525
-0.2075	1.02061	-0.0175936	-0.099963	0.734984	1.80036	0.101499
-0.2025	1.02052	-0.0175163	-0.0999462	0.734894	1.80029	0.10147
-0.1975	1.02044	-0.017441	-0.099923	0.734806	1.80023	0.101434
-0.1925	1.02035	-0.0173679	-0.0998912	0.734719	1.80016	0.10139
-0.1875	1.02027	-0.0172971	-0.0998483	0.734632	1.8001	0.101335
-0.1825	1.02018	-0.0172284	-0.0997911	0.734547	1.80004	0.101267
-0.1775	1.0201	-0.0171612	-0.0997158	0.734461	1.79998	0.101182
-0.1725	1.02001	-0.0170947	-0.0996181	0.734374	1.79992	0.101074
-0.1675	1.01992	-0.0170284	-0.0994926	0.734286	1.79987	0.100939
-0.1625	1.01982	-0.0169615	-0.0993334	0.734196	1.79982	0.100771
-0.1575	1.0197	-0.0168931	-0.0991334	0.734102	1.79979	0.100562
-0.1525	1.01957	-0.0168226	-0.0988848	0.734005	1.79979	0.100306
-0.1475	1.01941	-0.0167495	-0.0985784	0.733906	1.79983	0.0999913
-0.1425	1.01922	-0.0166737	-0.0982047	0.733805	1.79992	0.0996101
-0.1375	1.01899	-0.0165947	-0.0977534	0.733704	1.80007	0.099152
-0.1325	1.01873	-0.0165109	-0.0972152	0.733603	1.8003	0.0986073
-0.1275	1.01841	-0.0164168	-0.0965831	0.733503	1.80062	0.0979684
-0.1225	1.01799	-0.0163018	-0.0958552	0.733402	1.8011	0.0972315
-0.1175	1.01734	-0.0161564	-0.0950371	0.733279	1.80194	0.0964006
-0.1125	1.01613	-0.0159661	-0.0941431	0.733094	1.80365	0.0954874
-0.1075	1.01368	-0.0156695	-0.0931906	0.732897	1.80751	0.0944988
-0.1025	1.00844	-0.0151926	-0.0922285	0.732598	1.81617	0.0934715
-0.0975	0.997317	-0.0146354	-0.0913564	0.731839	1.83452	0.0925212
-0.0925	0.977096	-0.0141908	-0.0906224	0.730948	1.87021	0.0917268
-0.0875	0.946241	-0.0137303	-0.0899807	0.730636	1.93037	0.0910222
-0.0825	0.906611	-0.0129886	-0.0892812	0.730659	2.01481	0.090221
-0.0775	0.865047	-0.0117645	-0.0881268	0.730912	2.11235	0.0889085
-0.0725	0.828353	-0.0099154	-0.0862458	0.731502	2.2077	0.0868139
-0.0675	0.798854	-0.00766662	-0.0836542	0.731892	2.29044	0.0840047
-0.0625	0.776542	-0.00539442	-0.0803384	0.7319	2.35628	0.0805193
-0.0575	0.760582	-0.00336611	-0.0763147	0.731707	2.40509	0.0763889
-0.0525	0.74982	-0.0017163	-0.0716536	0.731469	2.43882	0.0716741
-0.0475	0.743101	-0.000455783	-0.0664367	0.731279	2.46023	0.0664382
-0.0425	0.739433	0.000530139	-0.0607153	0.731247	2.47232	0.0607176
-0.0375	0.737901	0.00131088	-0.0545292	0.731325	2.47772	0.0545449
-0.0325	0.737544	0.00175324	-0.0479199	0.731121	2.47823	0.0479519
-0.0275	0.737833	0.00182557	-0.0408941	0.730782	2.47611	0.0409348
-0.0225	0.738612	0.00167304	-0.0334568	0.730811	2.4736	0.0334986
-0.0175	0.739457	0.00139224	-0.0256601	0.73094	2.4712	0.0256979
-0.0125	0.740067	0.00105031	-0.0175782	0.730954	2.46922	0.0176096
-0.0075	0.740436	0.000655593	-0.00930739	0.73096	2.46801	0.00933045
-0.0025	0.740604	0.000231221	-0.00100769	0.730975	2.4675	0.00103387
0.0025	0.740643	-0.000195289	0.00716514	0.73098	2.46738	0.0071678
0.0075	0.740571	-0.000645462	0.0151289	0.730986	2.46764	0.0151426
0.0125	0.740116	-0.00117135	0.022835	0.730768	2.46842	0.0228651
0.0175	0.73898	-0.00167377	0.0302658	0.730504	2.47132	0.030312
0.0225	0.737916	-0.0018502	0.0374214	0.731021	2.47664	0.0374671
0.0275	0.737661	-0.00136715	0.0442942	0.731596	2.47945	0.0443153
0.0325	0.738743	-0.000801451	0.0508394	0.730764	2.473	0.0508457
0.0375	0.743715	-0.000737218	0.0568437	0.730203	2.45458	0.0568485
0.0425	0.754267	-0.000236463	0.0621506	0.730852	2.42239	0.062151
0.0475	0.770035	0.00113497	0.0667711	0.73128	2.37418	0.0667807
0.0525	0.790727	0.00286613	0.0706852	0.731456	2.31261	0.0707433
0.0575	0.815303	0.00457129	0.0739338	0.731721	2.24371	0.074075
0.0625	0.842272	0.00643104	0.0766374	0.732222	2.17335	0.0769067
0.0675	0.869968	0.00851256	0.0789464	0.732675	2.10547	0.079404
0.0725	0.896714	0.0105437	0.0809912	0.732846	2.04314	0.0816746
0.0775	0.921273	0.012223	0.0828426	0.732826	1.98862	0.0837395
0.0825	0.942862	0.0134914	0.0845388	0.732787	1.94298	0.0856085
0.0875	0.96106	0.0143928	0.0861081	0.732782	1.90618	0.0873027
0.0925	0.975833	0.0150032	0.0875686	0.732831	1.87745	0.0888445
0.0975	0.987443	0.0154039	0.0889297	0.732929	1.85563	0.0902539
0.1025	0.996322	0.015665	0.0901953	0.733062	1.83942	0.0915456
0.1075	1.00297	0.0158391	0.0913664	0.733213	1.82761	0.0927291
0.1125	1.00785	0.0159618	0.0924427	0.73337	1.81914	0.0938106
0.1175	1.0114	0.0160554	0.0934245	0.733525	1.81314	0.094794
0.1225	1.01396	0.0161326	0.0943128	0.733673	1.80894	0.0956827
0.1275	1.01578	0.016201	0.0951102	0.733813	1.80603	0.0964802
0.1325	1.01709	0.0162649	0.0958202	0.733945	1.80403	0.0971908
0.1375	1.01802	0.0163269	0.0964474	0.73407	1.80268	0.0978196
0.1425	1.0187	0.0163886	0.0969974	0.734189	1.80178	0.0983722
0.1475	1.01919	0.0164508	0.0974762	0.734302	1.80119	0.0988546
0.1525	1.01955	0.0165143	0.09789	0.734413	1.80082	0.0992732
0.1575	1.01983	0.0165791	0.0982453	0.73452	1.80059	0.0996344
0.1625	1.02005	0.0166452	0.0985484	0.734625	1.80046	0.0999442
0.1675	1.02023	0.0167127	0.0988053	0.734727	1.8004	0.100209
0.1725	1.02037	0.0167811	0.0990217	0.734828	1.80039	0.100434
0.1775	1.0205	0.0168503	0.0992029	0.734926	1.8004	0.100624
0.1825	1.02062	0.0169199	0.0993538	0.735023	1.80043	0.100784
0.1875	1.02072	0.0169898	0.0994787	0.735117	1.80048	0.100919
0.1925	1.02082	0.0170599	0.0995816	0.73521	1.80053	0.101032
0.1975	1.02092	0.0171304	0.0996657	0.735301	1.80059	0.101127
0.2025	1.02101	0.0172013	0.0997343	0.735391	1.80064	0.101207
0.2075	1.0211	0.0172729	0.0997898	0.735481	1.8007	0.101274
0.2125	1.02119	0.0173452	0.0998345	0.735569	1.80076	0.10133
0.2175	1.02128	0.0174184	0.0998703	0.735657	1.80082	0.101378
0.2225	1.02137	0.0174925	0.0998989	0.735745	1.80089	0.101419
0.2275	1.02145	0.0175673	0.0999215	0.735832	1.80095	0.101454
0.2325	1.02154	0.0176427	0.0999394	0.735919	1.80101	0.101485
0.2375	1.02162	0.0177183	0.0999534	0.736004	1.80107	0.101512
0.2425	1.02171	0.0177936	0.0999644	0.736089	1.80113	0.101536
0.2475	1.02179	0.0178685	0.0999729	0.736173	1.80119	0.101557
0.2525	1.02187	0.0179427	0.0999794	0.736255	1.80124	0.101577
0.2575	1.02195	0.0180163	0.0999845	0.736335	1.8013	0.101595
0.2625	1.02203	0.0180892	0.0999883	0.736415	1.80135	0.101611
0.2675	1.02211	0.0181616	0.0999913	0.736493	1.80141	0.101627
0.2725	1.02218	0.0182337	0.0999935	0.73657	1.80146	0.101642
0.2775	1.02226	0.0183057	0.0999951	0.736647	1.80152	0.101657
0.2825	1.02234	0.0183777	0.0999964	0.736724	1.80157	0.101671
0.2875	1.02241	0.0184499	0.0999973	0.7368	1.80162	0.101685
0.2925	1.02249	0.0185225	0.099998	0.736876	1.80168	0.101699
0.2975	1.02256	0.0185955	0.0999985	0.736952	1.80173	0.101713
0.3025	1.02264	0.0186688	0.0999988	0.737028	1.80178	0.101727
0.3075	1.02271	0.0187421	0.0999991	0.737104	1.80184	0.10174
0.3125	1.02279	0.018815	0.0999993	0.737179	1.80189	0.101754
0.3175	1.02286	0.0188874	0.0999994	0.737253	1.80194	0.101767
0.3225	1.02293	0.0189588	0.0999995	0.737325	1.80199	0.101781
0.3275	1.023	0.0190293	0.0999996	0.737397	1.80204	0.101794
0.3325	1.02307	0.0190988	0.0999997	0.737466	1.80209	0.101807
0.3375	1.02314	0.0191673	0.0999997	0.737535	1.80214	0.10182
0.3425	1.02321	0.0192349	0.0999997	0.737602	1.80218	0.101833
0.3475	1.02327	0.0193018	0.0999997	0.737669	1.80223	0.101845
0.3525	1.02334	0.0193682	0.0999997	0.737735	1.80228	0.101858
0.3575	1.0234	0.0194344	0.0999997	0.7378	1.80232	0.101871
0.3625	1.02347	0.0195005	0.0999997	0.737865	1.80237	0.101883
0.3675	1.02353	0.0195667	0.0999997	0.737929	1.80241	0.101896
0.3725	1.02359	0.019633	0.0999997	0.737994	1.80246	0.101909
0.3775	1.02366	0.0196996	0.0999997	0.738058	1.8025	0.101922
0.3825	1.02372	0.0197662	0.0999998	0.738122	1.80255	0.101935
0.3875	1.02379	0.0198327	0.0999998	0.738186	1.80259	0.101948
0.3925	1.02385	0.019899	0.0999999	0.738249	1.80264	0.101961
0.3975	1.02391	0.0199647	0.1	0.738312	1.80268	0.101973
0.4025	1.02397	0.0200297	0.1	0.738373	1.80272	0.101986
0.4075	1.02403	0.020094	0.1	0.738434	1.80277	0.101999
0.4125	1.02409	0.0201574	0.1	0.738493	1.80281	0.102012
0.4175	1.02415	0.0202201	0.1	0.738552	1.80285	0.102024
0.4225	1.0242	0.0202822	0.1	0.738609	1.80289	0.102036
0.4275	1.02426	0.0203436	0.0999997	0.738666	1.80293	0.102048
0.4325	1.02432	0.0204046	0.0999987	0.738722	1.80296	0.102059
0.4375	1.02437	0.0204652	0.0999969	0.738778	1.803	0.10207
0.4425	1.02443	0.0205256	0.0999943	0.738832	1.80304	0.102079
0.4475	1.02448	0.0205859	0.0999907	0.738887	1.80308	0.102088
0.4525	1.02453	0.0206457	0.0999862	0.738941	1.80312	0.102095
0.4575	1.02458	0.0207046	0.0999813	0.738994	1.80316	0.102103
0.4625	1.02463	0.0207629	0.0999756	0.739047	1.8032	0.102109
0.4675	1.02468	0.0208233	0.0999674	0.739103	1.80324	0.102113
0.4725	1.02474	0.0208911	0.0999562	0.739165	1.8033	0.102116
0.4775	1.02479	0.0209531	0.0999431	0.739217	1.80334	0.102116
0.4825	1.0248	0.0209789	0.0999267	0.73923	1.80336	0.102105
0.4875	1.02465	0.0208986	0.0999008	0.739091	1.80327	0.102063
0.4925	1.02357	0.020215	0.099878	0.738008	1.80254	0.101903
0.4975	1.01425	0.0129503	0.099924	0.728651	1.79604	0.10076
