x	rho	u	v	p	e	uMax
-0.495	1.01816	-0.0161264	-0.0998535	0.73259	1.7988	0.101147
-0.485	1.02409	-0.0206298	-0.0997895	0.738529	1.8029	0.1019
-0.475	1.02454	-0.0209118	-0.0998134	0.738976	1.80318	0.10198
-0.465	1.0246	-0.020951	-0.099851	0.739026	1.8032	0.102025
-0.455	1.02462	-0.02097	-0.0998848	0.739041	1.8032	0.102062
-0.445	1.02464	-0.0209851	-0.0999132	0.739051	1.8032	0.102093
-0.435	1.02465	-0.0209978	-0.0999382	0.739058	1.8032	0.10212
-0.425	1.02465	-0.0210086	-0.0999596	0.739063	1.80321	0.102143
-0.415	1.02466	-0.0210179	-0.0999756	0.739067	1.80321	0.102161
-0.405	1.02466	-0.0210262	-0.0999865	0.739067	1.80321	0.102173
-0.395	1.02466	-0.0210335	-0.0999932	0.739066	1.80321	0.102181
-0.385	1.02465	-0.021039	-0.099997	0.739063	1.8032	0.102186
-0.375	1.02465	-0.0210432	-0.0999988	0.739056	1.8032	0.102189
-0.365	1.02464	-0.0210455	-0.0999998	0.739047	1.80319	0.10219
-0.355	1.02462	-0.0210461	-0.1	0.739034	1.80318	0.102191
-0.345	1.02461	-0.0210451	-0.0999997	0.739019	1.80317	0.10219
-0.335	1.02459	-0.0210424	-0.0999992	0.739	1.80316	0.102189
-0.325	1.02457	-0.0210384	-0.0999987	0.738979	1.80314	0.102188
-0.315	1.02455	-0.0210338	-0.0999989	0.738956	1.80313	0.102187
-0.305	1.02452	-0.0210293	-0.1	0.738932	1.80311	0.102188
-0.295	1.0245	-0.0210252	-0.100003	0.738907	1.8031	0.102189
-0.285	1.02447	-0.0210215	-0.100008	0.73888	1.80308	0.102193
-0.275	1.02444	-0.0210183	-0.100016	0.738853	1.80306	0.102201
-0.265	1.02442	-0.0210155	-0.100027	0.738823	1.80303	0.10221
-0.255	1.02439	-0.0210131	-0.100039	0.73879	1.803	0.102222
-0.245	1.02436	-0.0210116	-0.100053	0.738756	1.80298	0.102235
-0.235	1.02432	-0.0210115	-0.10007	0.73872	1.80295	0.102252
-0.225	1.02428	-0.0210128	-0.100088	0.738682	1.80294	0.10227
-0.215	1.02423	-0.0210162	-0.100098	0.738642	1.80292	0.10228
-0.205	1.02418	-0.0210209	-0.100092	0.738594	1.80289	0.102276
-0.195	1.02411	-0.0210254	-0.100032	0.738531	1.80285	0.102218
-0.185	1.02401	-0.0210262	-0.0998116	0.738431	1.8028	0.102002
-0.175	1.02379	-0.0210211	-0.0992119	0.738268	1.80278	0.101414
-0.165	1.02333	-0.0210044	-0.098126	0.738048	1.80306	0.100349
-0.155	1.02229	-0.0209505	-0.0965045	0.737791	1.80426	0.0987524
