x	rho	u	v	p	e	uMax
-0.495	1.01919	-0.0170826	-0.0998661	0.733627	1.79954	0.101317
-0.485	1.02494	-0.0213724	-0.0998305	0.739394	1.80351	0.102093
-0.475	1.02534	-0.0215988	-0.0998601	0.739784	1.80375	0.102169
-0.465	1.02536	-0.0215945	-0.0998919	0.739792	1.80375	0.102199
-0.455	1.02533	-0.0215607	-0.099919	0.739764	1.80371	0.102219
-0.445	1.0253	-0.0215188	-0.0999417	0.739724	1.80368	0.102232
-0.435	1.02526	-0.0214734	-0.0999588	0.739679	1.80364	0.102239
-0.425	1.02521	-0.0214229	-0.0999712	0.73963	1.8036	0.102241
-0.415	1.02516	-0.0213681	-0.0999798	0.739576	1.80356	0.102238
-0.405	1.0251	-0.0213106	-0.0999864	0.739517	1.80352	0.102232
-0.395	1.02504	-0.0212523	-0.0999915	0.739457	1.80348	0.102225
-0.385	1.02498	-0.021195	-0.0999948	0.739396	1.80344	0.102216
-0.375	1.02492	-0.0211401	-0.0999967	0.739336	1.80339	0.102207
-0.365	1.02487	-0.0210879	-0.0999977	0.739277	1.80335	0.102197
-0.355	1.02481	-0.021038	-0.0999979	0.73922	1.80331	0.102187
-0.345	1.02475	-0.0209901	-0.0999975	0.739164	1.80327	0.102177
-0.335	1.0247	-0.0209433	-0.0999962	0.739108	1.80324	0.102166
-0.325	1.02464	-0.0208966	-0.0999935	0.739051	1.8032	0.102154
-0.315	1.02458	-0.0208489	-0.0999887	0.738991	1.80316	0.102139
-0.305	1.02451	-0.0207989	-0.0999804	0.738927	1.80312	0.102121
-0.295	1.02445	-0.0207454	-0.0999667	0.738858	1.80307	0.102097
-0.285	1.02437	-0.0206874	-0.0999445	0.738781	1.80301	0.102063
-0.275	1.02429	-0.0206247	-0.0999095	0.738697	1.80295	0.102016
-0.265	1.0242	-0.0205581	-0.0998554	0.738605	1.80288	0.10195
-0.255	1.02411	-0.0204894	-0.0997736	0.738507	1.80281	0.101856
-0.245	1.02401	-0.0204212	-0.0996521	0.738404	1.80273	0.101723
-0.235	1.0239	-0.0203564	-0.0994756	0.738299	1.80266	0.101537
-0.225	1.02378	-0.0202963	-0.0992249	0.738191	1.8026	0.101279
-0.215	1.02366	-0.0202416	-0.0988769	0.738078	1.80255	0.100928
-0.205	1.02351	-0.0201911	-0.0984053	0.737958	1.80252	0.100455
-0.195	1.02331	-0.0201427	-0.0977801	0.737828	1.80256	0.0998332
-0.185	1.02301	-0.0200939	-0.0969669	0.737689	1.80274	0.099027
-0.175	1.02257	-0.0200402	-0.0959248	0.737552	1.80319	0.0979958
-0.165	1.02193	-0.0199733	-0.0946052	0.737436	1.80403	0.0966907
-0.155	1.0211	-0.0198765	-0.0929573	0.73735	1.80529	0.0950586
-0.145	1.02003	-0.0197295	-0.0909455	0.737262	1.80695	0.093061
-0.135	1.01838	-0.0195375	-0.088578	0.736998	1.80924	0.0907071
-0.125	1.01513	-0.0193634	-0.0859058	0.736459	1.81371	0.088061
-0.115	1.0078	-0.0190223	-0.0830571	0.735896	1.82551	0.0852076
-0.105	0.988999	-0.0182312	-0.0804445	0.734104	1.85567	0.0824845
-0.095	0.95181	-0.0177787	-0.078244	0.732486	1.92393	0.0802384
-0.085	0.899073	-0.0169605	-0.0759395	0.733493	2.03958	0.0778105
-0.075	0.84672	-0.0146168	-0.0723539	0.735321	2.17109	0.0738155
-0.065	0.807573	-0.0114385	-0.066698	0.736428	2.27976	0.0676717
-0.055	0.781588	-0.00819599	-0.0591414	0.73646	2.35566	0.0597067
-0.045	0.765767	-0.00557899	-0.0500231	0.736223	2.40355	0.0503332
-0.035	0.756732	-0.00361438	-0.0396959	0.736016	2.43156	0.0398601
-0.025	0.751901	-0.00213999	-0.0284631	0.735885	2.44675	0.0285434
-0.015	0.749587	-0.000958758	-0.0166012	0.735819	2.45408	0.0166289
-0.005	0.748745	8.78428e-05	-0.0043845	0.735808	2.4568	0.00438538
0.005	0.748634	0.00109872	0.0078635	0.735805	2.45716	0.00793988
0.015	0.749246	0.00208946	0.019862	0.735843	2.45528	0.0199716
0.025	0.751773	0.00312819	0.0314013	0.735737	2.44667	0.0315567
0.035	0.760928	0.00470813	0.042075	0.735336	2.41592	0.0423376
0.045	0.783233	0.00633151	0.0511897	0.735463	2.34752	0.0515798
0.055	0.818702	0.00919959	0.058416	0.735642	2.24637	0.0591359
0.065	0.860344	0.0117554	0.0640782	0.735702	2.13781	0.0651476
0.075	0.90048	0.0144427	0.068735	0.735921	2.04314	0.0702359
0.085	0.934812	0.0164455	0.0727974	0.73568	1.96746	0.0746319
0.095	0.962084	0.0177647	0.0764453	0.73565	1.91161	0.0784823
0.105	0.982338	0.0185907	0.0797789	0.735812	1.8726	0.0819163
0.115	0.996609	0.0191026	0.0828326	0.736075	1.84645	0.0850067
0.125	1.00628	0.0194283	0.0856067	0.736371	1.82944	0.0877836
0.135	1.01265	0.0196474	0.0880913	0.736662	1.81866	0.0902557
0.145	1.01676	0.0198065	0.0902793	0.736935	1.81197	0.0924264
0.155	1.01939	0.0199318	0.092172	0.737186	1.80791	0.0943025
0.165	1.02106	0.020037	0.0937804	0.737414	1.80552	0.0958971
0.175	1.02212	0.0201292	0.0951237	0.737621	1.80415	0.0972301
0.185	1.0228	0.0202116	0.0962267	0.737808	1.8034	0.0983264
0.195	1.02325	0.0202859	0.0971178	0.737975	1.80302	0.0992138
0.205	1.02355	0.0203534	0.0978265	0.738124	1.80285	0.0999214
0.215	1.02377	0.0204147	0.0983816	0.738256	1.80279	0.100477
0.225	1.02393	0.0204705	0.0988099	0.738374	1.8028	0.100908
0.235	1.02405	0.0205215	0.0991358	0.738478	1.80283	0.101238
0.245	1.02416	0.0205685	0.0993802	0.738572	1.80288	0.101486
0.255	1.02425	0.0206127	0.099561	0.738657	1.80293	0.101672
0.265	1.02433	0.0206554	0.0996929	0.738734	1.80298	0.10181
0.275	1.0244	0.0206978	0.0997879	0.738808	1.80303	0.101912
0.285	1.02447	0.0207414	0.0998553	0.738878	1.80308	0.101987
0.295	1.02454	0.0207873	0.0999025	0.738947	1.80312	0.102042
0.305	1.02461	0.0208364	0.0999351	0.739017	1.80317	0.102084
0.315	1.02468	0.0208889	0.0999574	0.739087	1.80322	0.102117
0.325	1.02475	0.0209446	0.0999723	0.739159	1.80327	0.102143
0.335	1.02482	0.0210029	0.0999823	0.73923	1.80332	0.102164
0.345	1.02489	0.0210625	0.0999887	0.739302	1.80337	0.102183
0.355	1.02496	0.0211219	0.0999928	0.739371	1.80342	0.102199
0.365	1.02502	0.0211796	0.0999952	0.739437	1.80347	0.102214
0.375	1.02508	0.0212345	0.0999962	0.739498	1.80351	0.102226
0.385	1.02514	0.0212857	0.0999959	0.739554	1.80355	0.102236
0.395	1.02519	0.0213327	0.0999944	0.739605	1.80358	0.102245
0.405	1.02523	0.0213756	0.0999914	0.73965	1.80361	0.102251
0.415	1.02527	0.0214146	0.0999874	0.739689	1.80364	0.102255
0.425	1.02531	0.02145	0.0999811	0.739723	1.80366	0.102256
0.435	1.02534	0.0214825	0.0999697	0.739754	1.80368	0.102252
0.445	1.02537	0.0215131	0.0999528	0.739784	1.80371	0.102242
0.455	1.02539	0.0215439	0.0999309	0.739814	1.80374	0.102227
0.465	1.02541	0.0215717	0.099904	0.739837	1.80376	0.102206
0.475	1.0254	0.0215793	0.0998676	0.739835	1.80377	0.102172
0.485	1.02507	0.0214047	0.0998281	0.739516	1.80357	0.102097
0.495	1.01927	0.0171498	0.0998607	0.733706	1.79958	0.101323
