x	rho	u	v	p	e	uMax
-0.495	1.01837	-0.0163231	-0.0998577	0.732801	1.79895	0.101183
-0.485	1.02426	-0.0207837	-0.0997936	0.738704	1.80302	0.101935
-0.475	1.02472	-0.0210684	-0.0998139	0.739153	1.80331	0.102013
-0.465	1.02478	-0.0211147	-0.0998489	0.739208	1.80333	0.102057
-0.455	1.02481	-0.0211416	-0.0998816	0.73923	1.80333	0.102095
-0.445	1.02483	-0.0211652	-0.0999101	0.739247	1.80334	0.102127
-0.435	1.02485	-0.0211868	-0.099936	0.739263	1.80335	0.102157
-0.425	1.02486	-0.021207	-0.0999582	0.739277	1.80335	0.102183
-0.415	1.02488	-0.0212262	-0.0999749	0.73929	1.80336	0.102203
-0.405	1.02489	-0.0212445	-0.0999862	0.739301	1.80337	0.102218
-0.395	1.0249	-0.0212619	-0.0999932	0.73931	1.80338	0.102229
-0.385	1.0249	-0.0212784	-0.0999973	0.739317	1.80338	0.102236
-0.375	1.02491	-0.0212938	-0.0999992	0.739321	1.80338	0.102241
-0.365	1.02491	-0.0213081	-0.1	0.739323	1.80338	0.102245
-0.355	1.02491	-0.0213213	-0.1	0.739323	1.80338	0.102248
-0.345	1.02491	-0.0213327	-0.0999999	0.73932	1.80338	0.10225
-0.335	1.0249	-0.0213425	-0.0999995	0.739314	1.80338	0.102252
-0.325	1.02489	-0.0213512	-0.0999993	0.739306	1.80337	0.102253
-0.315	1.02488	-0.0213592	-0.0999996	0.739296	1.80337	0.102255
-0.305	1.02487	-0.0213668	-0.100001	0.739284	1.80336	0.102258
-0.295	1.02486	-0.0213744	-0.100003	0.73927	1.80335	0.102261
-0.285	1.02484	-0.0213823	-0.100007	0.739256	1.80334	0.102268
-0.275	1.02483	-0.0213908	-0.100016	0.73924	1.80333	0.102278
-0.265	1.02481	-0.0214003	-0.100028	0.739222	1.80331	0.102291
-0.255	1.0248	-0.0214114	-0.100042	0.739204	1.80329	0.102307
-0.245	1.02478	-0.0214242	-0.100057	0.739183	1.80328	0.102325
-0.235	1.02476	-0.0214391	-0.100074	0.739162	1.80326	0.102345
-0.225	1.02473	-0.0214562	-0.100091	0.739141	1.80326	0.102365
-0.215	1.0247	-0.0214755	-0.1001	0.739116	1.80325	0.102378
-0.205	1.02466	-0.0214962	-0.100091	0.739084	1.80324	0.102373
-0.195	1.02461	-0.0215181	-0.100024	0.739035	1.8032	0.102312
-0.185	1.02452	-0.0215378	-0.0997822	0.738949	1.80316	0.10208
-0.175	1.02431	-0.0215466	-0.0991534	0.738802	1.80316	0.101468
-0.165	1.02386	-0.0215457	-0.0980433	0.738601	1.80347	0.100383
-0.155	1.02282	-0.0215099	-0.0964058	0.738367	1.80474	0.0987763
-0.145	1.02042	-0.0213548	-0.0941732	0.738074	1.80826	0.0965641
-0.135	1.01518	-0.0210123	-0.0913579	0.737634	1.81651	0.0937431
-0.125	1.00509	-0.0205072	-0.0879895	0.737102	1.83342	0.0903476
-0.115	0.988008	-0.0197367	-0.0840936	0.736668	1.86402	0.0863787
-0.105	0.962459	-0.0186266	-0.0797878	0.736447	1.91293	0.0819331
-0.095	0.929121	-0.0171662	-0.0752174	0.736548	1.98184	0.0771514
-0.085	0.892209	-0.0153931	-0.0704453	0.736894	2.0648	0.0721074
-0.075	0.857772	-0.0133613	-0.0652468	0.737355	2.14904	0.0666008
-0.065	0.829299	-0.0111394	-0.0592653	0.737727	2.22395	0.0603031
-0.055	0.807336	-0.00890561	-0.0523285	0.737897	2.28498	0.0530809
-0.045	0.791455	-0.00681684	-0.0443905	0.737942	2.33097	0.0449109
-0.035	0.780715	-0.00496318	-0.0354899	0.737923	2.36297	0.0358352
-0.025	0.774053	-0.00332061	-0.0256988	0.737897	2.38323	0.0259125
-0.015	0.770514	-0.00177786	-0.0150831	0.737923	2.39426	0.0151875
-0.005	0.769166	-0.000247048	-0.00384764	0.737915	2.39843	0.00385556
0.005	0.768956	0.00117838	0.00722859	0.737891	2.399	0.007324
0.015	0.769606	0.00253914	0.0173337	0.737989	2.3973	0.0175187
0.025	0.773038	0.00402677	0.0264694	0.737575	2.38531	0.0267739
0.035	0.782786	0.00524786	0.0351591	0.737331	2.35483	0.0355486
0.045	0.800158	0.00707064	0.0434315	0.737662	2.30474	0.0440033
0.055	0.824487	0.00926935	0.0512173	0.737665	2.23674	0.0520493
0.065	0.854749	0.0117169	0.0584598	0.737533	2.15716	0.0596225
0.075	0.888095	0.0141304	0.0650357	0.737524	2.07614	0.0665531
0.085	0.920589	0.0164772	0.0708404	0.737557	2.00295	0.0727315
0.095	0.949374	0.0183905	0.0759221	0.737428	1.94188	0.0781177
0.105	0.973101	0.0197723	0.0803635	0.737356	1.89435	0.0827601
0.115	0.991211	0.0206569	0.0842456	0.737412	1.85988	0.0867412
0.125	1.00405	0.0211624	0.0876228	0.737585	1.83653	0.0901422
0.135	1.01254	0.0214187	0.0905168	0.73783	1.82172	0.0930164
0.145	1.01783	0.0215217	0.0929135	0.738086	1.8129	0.0953735
0.155	1.02093	0.0215461	0.0948581	0.738322	1.80797	0.0972744
0.165	1.02267	0.0215362	0.0963926	0.738519	1.80537	0.0987692
0.175	1.02361	0.0215147	0.097559	0.738679	1.80409	0.0999031
0.185	1.02412	0.0214917	0.0984153	0.738807	1.80351	0.100735
0.195	1.02439	0.0214654	0.0990241	0.738905	1.80328	0.101324
0.205	1.02454	0.021446	0.0994413	0.738982	1.80321	0.101728
0.215	1.02462	0.0214273	0.0997123	0.739045	1.80321	0.101989
0.225	1.02468	0.0214117	0.0998771	0.739095	1.80323	0.102146
0.235	1.02472	0.0213977	0.0999698	0.739135	1.80325	0.102234
0.245	1.02476	0.0213847	0.100016	0.739168	1.80328	0.102277
0.255	1.02478	0.0213724	0.100035	0.739195	1.8033	0.102293
0.265	1.02481	0.0213607	0.100039	0.739218	1.80331	0.102294
0.275	1.02483	0.0213495	0.100036	0.739237	1.80332	0.102289
0.285	1.02484	0.0213386	0.100029	0.739254	1.80334	0.10228
0.295	1.02486	0.0213278	0.100022	0.739269	1.80335	0.10227
0.305	1.02487	0.0213167	0.100015	0.739281	1.80335	0.102262
0.315	1.02488	0.0213051	0.10001	0.73929	1.80336	0.102254
0.325	1.02488	0.0212927	0.100006	0.739297	1.80337	0.102248
0.335	1.02489	0.0212797	0.100004	0.739302	1.80337	0.102243
0.345	1.02489	0.0212663	0.100003	0.739305	1.80337	0.102239
0.355	1.02489	0.0212527	0.100002	0.739307	1.80337	0.102236
0.365	1.02489	0.021239	0.100003	0.739308	1.80337	0.102233
0.375	1.02489	0.0212254	0.100003	0.739308	1.80337	0.102231
0.385	1.02489	0.021212	0.100003	0.739306	1.80337	0.102228
0.395	1.02489	0.0211986	0.100002	0.739303	1.80337	0.102224
0.405	1.02489	0.0211845	0.0999956	0.739298	1.80337	0.102215
0.415	1.02488	0.0211694	0.0999828	0.73929	1.80336	0.102199
0.425	1.02487	0.0211528	0.0999647	0.73928	1.80335	0.102178
0.435	1.02486	0.021134	0.0999418	0.739268	1.80334	0.102152
0.445	1.02484	0.0211129	0.0999151	0.739254	1.80333	0.102121
0.455	1.02483	0.0210898	0.0998833	0.739237	1.80332	0.102086
0.465	1.0248	0.0210637	0.0998444	0.739216	1.80332	0.102042
0.475	1.02474	0.0210199	0.0998011	0.739167	1.8033	0.101991
0.485	1.02436	0.0207831	0.0997677	0.738795	1.80307	0.101909
0.495	1.01842	0.0163496	0.0998435	0.732847	1.79898	0.101173
