x	rho	u	v	p	e	uMax
-0.495	1.01984	-0.0176912	-0.0998644	0.734286	1.8	0.101419
-0.485	1.02534	-0.0217244	-0.099829	0.739798	1.80379	0.102165
-0.475	1.02573	-0.0219419	-0.0998576	0.740178	1.80403	0.10224
-0.465	1.02576	-0.0219482	-0.0998895	0.740197	1.80403	0.102272
-0.455	1.02575	-0.0219341	-0.0999173	0.740184	1.80401	0.102297
-0.445	1.02574	-0.0219137	-0.0999403	0.740164	1.80398	0.102315
-0.435	1.02572	-0.0218916	-0.099958	0.740142	1.80396	0.102327
-0.425	1.0257	-0.0218664	-0.099971	0.740117	1.80394	0.102334
-0.415	1.02567	-0.0218387	-0.0999802	0.740089	1.80392	0.102338
-0.405	1.02564	-0.0218092	-0.0999867	0.740057	1.8039	0.102338
-0.395	1.0256	-0.0217788	-0.0999911	0.740024	1.80388	0.102335
-0.385	1.02557	-0.0217489	-0.0999945	0.739989	1.80385	0.102332
-0.375	1.02554	-0.0217205	-0.0999968	0.739955	1.80383	0.102329
-0.365	1.0255	-0.021694	-0.0999978	0.739922	1.8038	0.102324
-0.355	1.02547	-0.0216696	-0.0999981	0.73989	1.80378	0.102319
-0.345	1.02544	-0.0216473	-0.0999977	0.739859	1.80376	0.102314
-0.335	1.02541	-0.0216268	-0.0999963	0.739829	1.80374	0.102308
-0.325	1.02538	-0.0216076	-0.0999936	0.739798	1.80372	0.102302
-0.315	1.02535	-0.0215887	-0.0999886	0.739767	1.8037	0.102293
-0.305	1.02531	-0.0215691	-0.0999801	0.739733	1.80368	0.10228
-0.295	1.02528	-0.0215476	-0.0999661	0.739695	1.80365	0.102262
-0.285	1.02523	-0.0215232	-0.0999434	0.739652	1.80362	0.102235
-0.275	1.02519	-0.0214955	-0.0999076	0.739602	1.80358	0.102194
-0.265	1.02513	-0.0214652	-0.0998523	0.739546	1.80353	0.102133
-0.255	1.02508	-0.0214337	-0.0997689	0.739485	1.80349	0.102045
-0.245	1.02501	-0.0214035	-0.0996454	0.73942	1.80344	0.101918
-0.235	1.02494	-0.0213767	-0.0994661	0.739353	1.8034	0.101737
-0.225	1.02487	-0.021354	-0.0992114	0.739283	1.80336	0.101483
-0.215	1.02478	-0.021335	-0.0988578	0.739207	1.80334	0.101134
-0.205	1.02466	-0.0213178	-0.0983785	0.739121	1.80333	0.100662
