x	rho	u	v	p	e	uMax
-0.495	1.01778	-0.0157329	-0.0998541	0.732208	1.79853	0.101086
-0.485	1.02404	-0.0205754	-0.0997886	0.738484	1.80287	0.101888
-0.475	1.02453	-0.0208875	-0.0998118	0.738963	1.80317	0.101974
-0.465	1.02459	-0.0209302	-0.0998494	0.739016	1.80319	0.10202
-0.455	1.02462	-0.0209509	-0.0998834	0.739033	1.8032	0.102057
-0.445	1.02463	-0.0209677	-0.0999122	0.739044	1.8032	0.102089
-0.435	1.02464	-0.0209821	-0.0999375	0.739052	1.8032	0.102116
-0.425	1.02465	-0.0209948	-0.099959	0.73906	1.8032	0.10214
-0.415	1.02465	-0.0210061	-0.0999751	0.739064	1.80321	0.102158
-0.405	1.02466	-0.0210161	-0.0999862	0.739067	1.80321	0.102171
-0.395	1.02466	-0.0210252	-0.0999931	0.739067	1.80321	0.10218
-0.385	1.02465	-0.0210326	-0.099997	0.739065	1.80321	0.102185
-0.375	1.02465	-0.0210381	-0.0999988	0.73906	1.8032	0.102188
-0.365	1.02464	-0.0210418	-0.0999997	0.739052	1.8032	0.10219
-0.355	1.02463	-0.0210434	-0.1	0.73904	1.80319	0.10219
-0.345	1.02462	-0.0210437	-0.0999997	0.739025	1.80318	0.10219
-0.335	1.0246	-0.0210428	-0.0999992	0.739008	1.80316	0.102189
-0.325	1.02458	-0.021041	-0.0999989	0.738989	1.80315	0.102189
-0.315	1.02456	-0.021039	-0.0999992	0.738969	1.80314	0.102188
-0.305	1.02454	-0.0210372	-0.100001	0.738947	1.80312	0.10219
-0.295	1.02451	-0.0210358	-0.100003	0.738924	1.80311	0.102192
-0.285	1.02449	-0.0210349	-0.100008	0.7389	1.80309	0.102196
-0.275	1.02447	-0.0210343	-0.100016	0.738875	1.80307	0.102204
-0.265	1.02444	-0.0210342	-0.100026	0.738847	1.80305	0.102214
-0.255	1.02442	-0.0210347	-0.100037	0.738817	1.80302	0.102225
-0.245	1.02438	-0.0210363	-0.10005	0.738786	1.803	0.102238
-0.235	1.02435	-0.0210394	-0.100066	0.738753	1.80298	0.102254
-0.225	1.02431	-0.0210441	-0.100081	0.738718	1.80296	0.10227
-0.215	1.02427	-0.02105	-0.100089	0.738679	1.80295	0.102278
-0.205	1.02422	-0.0210562	-0.100076	0.738632	1.80292	0.102268
-0.195	1.02415	-0.0210613	-0.1	0.738567	1.80288	0.102194
-0.185	1.02404	-0.0210625	-0.0997387	0.738463	1.80282	0.101938
-0.175	1.02381	-0.021058	-0.09909	0.738296	1.80282	0.101303
-0.165	1.02332	-0.0210411	-0.0979574	0.738076	1.80315	0.100192
-0.155	1.02222	-0.0209858	-0.0962818	0.737825	1.80447	0.0985423
-0.145	1.01972	-0.0208074	-0.0939802	0.737521	1.80815	0.096256
-0.135	1.01427	-0.0204426	-0.0910547	0.737052	1.81671	0.0933212
-0.125	1.00377	-0.0199117	-0.0875534	0.736477	1.83428	0.0897891
-0.115	0.986172	-0.0190973	-0.083554	0.736045	1.86591	0.0857087
-0.105	0.960369	-0.0178965	-0.079212	0.735895	1.91566	0.0812085
-0.095	0.927549	-0.0163256	-0.0746574	0.736003	1.98373	0.0764216
-0.085	0.892005	-0.0145268	-0.0698551	0.736222	2.06339	0.0713496
-0.075	0.859018	-0.0125766	-0.0645424	0.736608	2.14375	0.0657563
-0.065	0.831492	-0.0104904	-0.0584386	0.736986	2.21586	0.0593727
-0.055	0.81008	-0.00837957	-0.0514308	0.737142	2.27491	0.052109
-0.045	0.794482	-0.00642756	-0.0435148	0.737178	2.31968	0.0439869
-0.035	0.783859	-0.00468688	-0.0347482	0.737165	2.35108	0.0350629
-0.025	0.777253	-0.00312275	-0.0251955	0.73715	2.37101	0.0253883
-0.015	0.773778	-0.00162993	-0.014895	0.737171	2.38173	0.0149839
-0.005	0.772553	-0.000119331	-0.00398988	0.737221	2.38566	0.00399166
0.005	0.77251	0.00133898	0.00682198	0.737206	2.38575	0.00695214
0.015	0.77366	0.00261574	0.0167457	0.736995	2.38152	0.0169487
0.025	0.778448	0.00376319	0.0257704	0.736688	2.36589	0.0260437
0.035	0.788947	0.00496449	0.0344077	0.73664	2.33425	0.034764
0.045	0.805356	0.00658425	0.0426663	0.736808	2.28721	0.0431713
0.055	0.827732	0.00856128	0.0504387	0.736807	2.22538	0.0511601
0.065	0.855643	0.0107894	0.0576565	0.736734	2.15257	0.0586574
0.075	0.887316	0.0131652	0.0642509	0.736873	2.07613	0.0655858
0.085	0.919193	0.0155771	0.0701531	0.736991	2.00445	0.0718617
0.095	0.947926	0.0176264	0.0753724	0.73686	1.94335	0.0774059
0.105	0.971813	0.0190945	0.0799552	0.736772	1.89536	0.0822036
0.115	0.99011	0.0200336	0.0839598	0.73683	1.86048	0.0863168
0.125	1.0031	0.0205761	0.0874305	0.737018	1.83686	0.0898191
0.135	1.01171	0.0208602	0.0903843	0.73728	1.82187	0.0927603
0.145	1.01708	0.0209876	0.0928152	0.737553	1.81292	0.0951585
0.155	1.02026	0.021035	0.0947759	0.737805	1.80789	0.0970822
0.165	1.02207	0.0210456	0.096318	0.738016	1.80521	0.0985905
0.175	1.02307	0.0210398	0.0974907	0.738189	1.80386	0.0997352
0.185	1.02361	0.0210298	0.0983539	0.738328	1.80325	0.100577
0.195	1.02391	0.0210192	0.0989679	0.73844	1.80299	0.101175
0.205	1.02408	0.0210098	0.0993889	0.738531	1.80291	0.101585
0.215	1.02418	0.0210034	0.0996658	0.738605	1.80291	0.101855
0.225	1.02426	0.0209997	0.0998392	0.738668	1.80293	0.102024
0.235	1.02432	0.0209981	0.0999411	0.738723	1.80297	0.102123
0.245	1.02436	0.0209982	0.0999961	0.73877	1.803	0.102177
0.255	1.0244	0.0209996	0.100022	0.738812	1.80303	0.102202
0.265	1.02444	0.0210018	0.10003	0.73885	1.80305	0.102211
0.275	1.02448	0.0210041	0.100029	0.738884	1.80308	0.102211
0.285	1.02451	0.0210061	0.100026	0.738914	1.8031	0.102207
0.295	1.02453	0.0210071	0.10002	0.738941	1.80312	0.102202
0.305	1.02456	0.0210073	0.100015	0.738964	1.80313	0.102197
0.315	1.02458	0.0210062	0.10001	0.738984	1.80315	0.102193
0.325	1.02459	0.0210035	0.100007	0.739001	1.80316	0.102189
0.335	1.02461	0.0209997	0.100004	0.739016	1.80317	0.102185
0.345	1.02462	0.0209951	0.100003	0.739028	1.80318	0.102183
0.355	1.02463	0.0209901	0.100002	0.739039	1.80319	0.102181
0.365	1.02464	0.020985	0.100002	0.739048	1.80319	0.10218
0.375	1.02465	0.0209799	0.100003	0.739057	1.8032	0.10218
0.385	1.02465	0.0209748	0.100003	0.739064	1.8032	0.102179
0.395	1.02466	0.0209689	0.100001	0.739068	1.80321	0.102176
0.405	1.02466	0.020962	0.0999948	0.739069	1.80321	0.102168
0.415	1.02466	0.0209541	0.0999821	0.739069	1.80321	0.102154
0.425	1.02466	0.0209447	0.0999644	0.739066	1.80321	0.102135
0.435	1.02465	0.0209329	0.0999426	0.739061	1.8032	0.102111
0.445	1.02464	0.0209183	0.0999169	0.739053	1.80319	0.102083
0.455	1.02463	0.0209014	0.099886	0.739042	1.80319	0.102049
0.465	1.02461	0.0208805	0.0998475	0.739025	1.80318	0.102007
0.475	1.02456	0.02084	0.0998033	0.738979	1.80317	0.101956
0.485	1.02415	0.0205787	0.099768	0.738582	1.80292	0.101868
0.495	1.01783	0.0157539	0.0998414	0.732253	1.79856	0.101077
